page_url,image_url,existing_alt,ai_generated_alt,alt_present,prompt_used
https://www.nih.gov,https://www.nih.gov/sites/all/themes/nih/images/nih-logo-color.png,National Institutes of Health (NIH) - Turning Discovery into Health,NIH logo,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/slide-dr-bhattacharya.jpg?itok=SViwtSTm&timestamp=1745430468,Dr. Bhattacharya,"Smiling professional posed in front of an American flag and a blue government banner, illustrating federal agency leadership.",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/20250422-slide-ric-2.jpg?itok=ylnRqkZ6&timestamp=1745439170,Illustration of a molecular structure emerging from a computer screen.,"Digital molecular structure with data interface, representing biotechnology research",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/slide-heartburn.jpg?itok=oMuUkbMN&timestamp=1745433034,"A man in a white shirt and tie, indoors, pressing down on his chest with an uncomfortable expression, experiencing heartburn.","Man experiencing chest discomfort, possibly indicating heart-related issues",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/woman-looking-out-window-april.png?itok=RPh-ISji&timestamp=1744297993,woman looking out a window,"Woman gazing thoughtfully out a window in a bright, modern room",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/asthma-pollen.jpg,Health Topics,Yellow wildflowers in bloom in a field,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/TemplatePackage/5.0/img/homepage/aboutcdc.png,About CDC,CDC headquarters exterior sign at Edward R. Roybal Campus,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/banner/measles-doctor-mom.jpg,Ways to Prevent Measles,Doctor consulting mother holding baby,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/banner/Good-Nutrition.jpg,Good Nutrition Starts Early,Child smiling while preparing a bowl of fruit salad in a kitchen.,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/banner/bird-flu-1700x768-1.jpg,H5 Bird Flu: Current Situation,Cow in a barn looking toward the camera,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
