page_url,image_url,existing_alt,ai_generated_alt,alt_present,prompt_used
https://www.nih.gov,https://www.nih.gov/sites/all/themes/nih/images/nih-logo-color.png,National Institutes of Health (NIH) - Turning Discovery into Health,NIH logo,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/slide-dr-bhattacharya.jpg?itok=SViwtSTm&timestamp=1745430468,Dr. Bhattacharya,"Jay Bhattacharya, new NIH Director, standing in front of American and NIH flags",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""

Here is the relevant context around the image:
Title:  NIH Director
Previous text: [if IE 9]></video><![endif] [if IE 9]><video style=""display: none;""><![endif]
Nearby paragraph 1: Jay Bhattacharya, M.D., Ph.D. takes the helm as the 18th Director of the National Institutes of Health.
Nearby paragraph 2: Learn more »
Container class: ds-1col file file-image file-image-jpeg view-mode-slide_file clearfix
List context: NIH DirectorJay Bhattacharya, M.D., Ph.D. takes the helm as the 18th Director of the National Institutes of Health.Learn more » | Research in Context: Designing proteinsHow proteins custom-designed to perform unique functions could improve human health.Learn more » | Understanding Barrett’s EsophagusLearn more about Barrett’s esophagus, a condition that affects the lining of the esophagus.Learn more »
Please generate appropriate alt text for the image considering this context.
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/20250422-slide-ric-2.jpg?itok=ylnRqkZ6&timestamp=1745439170,Illustration of a molecular structure emerging from a computer screen.,Molecular model representing custom-designed proteins for biomedical research,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""

Here is the relevant context around the image:
Title: Research in Context: Designing proteins
Previous text: [if IE 9]></video><![endif] [if IE 9]><video style=""display: none;""><![endif]
Nearby paragraph 1: How proteins custom-designed to perform unique functions could improve human health.
Nearby paragraph 2: Learn more »
Container class: ds-1col file file-image file-image-jpeg view-mode-slide_file clearfix
List context: NIH DirectorJay Bhattacharya, M.D., Ph.D. takes the helm as the 18th Director of the National Institutes of Health.Learn more » | Research in Context: Designing proteinsHow proteins custom-designed to perform unique functions could improve human health.Learn more » | Understanding Barrett’s EsophagusLearn more about Barrett’s esophagus, a condition that affects the lining of the esophagus.Learn more »
Please generate appropriate alt text for the image considering this context.
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/slide-heartburn.jpg?itok=oMuUkbMN&timestamp=1745433034,"A man in a white shirt and tie, indoors, pressing down on his chest with an uncomfortable expression, experiencing heartburn.","Man clutching chest, appearing uncomfortable, representing symptoms of Barrett’s esophagus",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""

Here is the relevant context around the image:
Title: Understanding Barrett’s Esophagus
Previous text: [if IE 9]></video><![endif] [if IE 9]><video style=""display: none;""><![endif]
Nearby paragraph 1: Learn more about Barrett’s esophagus, a condition that affects the lining of the esophagus.
Nearby paragraph 2: Learn more »
Container class: ds-1col file file-image file-image-jpeg view-mode-slide_file clearfix
List context: NIH DirectorJay Bhattacharya, M.D., Ph.D. takes the helm as the 18th Director of the National Institutes of Health.Learn more » | Research in Context: Designing proteinsHow proteins custom-designed to perform unique functions could improve human health.Learn more » | Understanding Barrett’s EsophagusLearn more about Barrett’s esophagus, a condition that affects the lining of the esophagus.Learn more »
Please generate appropriate alt text for the image considering this context.
"
https://www.nih.gov,https://www.nih.gov/sites/default/files/styles/slide_breakpoint-medium-small/public/home_0/slides/current/woman-looking-out-window-april.png?itok=RPh-ISji&timestamp=1744297993,woman looking out a window,"Woman thoughtfully looking out a window, illustrating personal reflection on alcohol use",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""

Here is the relevant context around the image:
Title: Alcohol Awareness
Previous text: [if IE 9]></video><![endif] [if IE 9]><video style=""display: none;""><![endif]
Nearby paragraph 1: Take time to reflect on the role alcohol plays in your life.
Nearby paragraph 2: Learn more »
Container class: ds-1col file file-image file-image-png view-mode-slide_file clearfix
List context: NIH DirectorJay Bhattacharya, M.D., Ph.D. takes the helm as the 18th Director of the National Institutes of Health.Learn more » | Research in Context: Designing proteinsHow proteins custom-designed to perform unique functions could improve human health.Learn more » | Understanding Barrett’s EsophagusLearn more about Barrett’s esophagus, a condition that affects the lining of the esophagus.Learn more »
Please generate appropriate alt text for the image considering this context.
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/asthma-pollen.jpg,Health Topics,Yellow wildflowers growing in a sunlit field,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/TemplatePackage/5.0/img/homepage/aboutcdc.png,About CDC,CDC headquarters sign at Edward R. Roybal Campus,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/banner/measles-doctor-mom.jpg,Ways to Prevent Measles,Mother holding baby while talking with a doctor,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/banner/Good-Nutrition.jpg,Good Nutrition Starts Early,Child enjoying a fruit salad at a kitchen counter with fresh fruit nearby,Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
https://www.cdc.gov,https://www.cdc.gov/homepage/images/banner/bird-flu-1700x768-1.jpg,H5 Bird Flu: Current Situation,"Cow in a barn looking toward the camera, with other cattle in the background",Yes,"Generate alt text for accessibility purposes. The alt text should:
1. Don't provide additional information in the the alt-text other than that conveyed by the image, but still consider the context
2. Provide context on how the image relates to the page content
3. Be accurate and equivalent in representing content and function
4. Be succinct - typically only a few words are necessary, though rarely a short sentence or two may be appropriate. Content (if any) and function (if any) should be presented as succinctly as possible, without sacrificing accuracy.
5. Not be redundant with nearby text
6. Not include phrases like ""image of..."" or ""graphic of...""
"
